pregunta,res1,res2,res3,res4,sol
"Si se solicita información pública y la Administración no resuelve en plazo, ¿cuál es el sentido del silencio administrativo según la Ley 19/2013?","Positivo, para garantizar el principio de máxima transparencia.","Negativo, entendiéndose desestimada la solicitud.",Positivo o negativo dependiendo de si afecta a datos de terceros.,"La Ley 19/2013 no regula el silencio, rigiéndose subsidiariamente por la LPACAP.",2
"¿Cuál es el plazo para la resolución y notificación de una solicitud de acceso a la información pública, según el art. 20 de la Ley 19/2013?","Un mes, improrrogable en cualquier caso.","Un mes, prorrogable por otro mes si el volumen o complejidad de la información lo justifican.","Tres meses, prorrogables por un mes más.","20 días hábiles, ampliables en 10 días adicionales.",2
"¿Qué sucede si la información solicitada puede afectar a los derechos de terceros, según la Ley de Transparencia?",Se denegará el acceso automáticamente.,"Se concederá trámite de audiencia a los terceros por 15 días, suspendiendo el plazo para resolver.",Se concederá trámite de audiencia por 10 días sin suspender el plazo para resolver.,Se entregará la información directamente tras aplicar el procedimiento de anonimización.,2
La reclamación ante el Consejo de Transparencia y Buen Gobierno (CTBG) tiene carácter...,Preceptivo y previo a la vía contencioso-administrativa.,Potestativo y previo a su impugnación en vía contencioso-administrativa.,"Sustitutivo del recurso de reposición, pero no del recurso de alzada.",Vinculante para el órgano judicial posterior.,2
"En materia de inadmisión, NO es una causa válida para inadmitir a trámite una solicitud de acceso:",Que se refiera a información en curso de elaboración o de publicación general.,Que tenga carácter auxiliar o de apoyo (como notas o borradores).,Que para su divulgación sea necesaria una acción previa de reelaboración.,Que el solicitante no haya motivado su petición de acceso.,4
¿Cómo se aplica el límite al acceso a la información pública relativo a la protección de datos personales si la información contiene datos especialmente protegidos (art. 9 RGPD)?,Solo se podrá autorizar si existe consentimiento expreso y por escrito del afectado o una norma con rango de ley lo ampara.,Se autorizará siempre que hayan transcurrido 25 años desde la muerte del afectado o 50 años desde el documento.,Se concederá mediante el previo proceso de disociación de datos en todo caso.,Dependerá de la ponderación del interés público frente al test del daño.,1
¿Cuál es la naturaleza jurídica del Consejo de Transparencia y Buen Gobierno?,Un órgano colegiado integrado en el Ministerio de la Presidencia.,Una Agencia Estatal con régimen jurídico propio.,Una Autoridad Administrativa Independiente de las previstas en la Ley 40/2015.,Un organismo autónomo encargado de la fiscalización del sector público.,3
"Respecto a los sujetos obligados por la Ley 19/2013, ¿se aplica a los partidos políticos y organizaciones sindicales?","No, solo se aplica a las Administraciones Públicas y sus organismos vinculados.","Sí, pero únicamente respecto a sus actividades sujetas a Derecho Administrativo.","Sí, siempre que perciban durante un año ayudas o subvenciones públicas en las cuantías que determina la Ley.",Solo se aplica a la Casa de Su Majestad el Rey y a la Administración General del Estado.,3
"Si se solicita información que afecta a la seguridad nacional (límite del art. 14 de la Ley 19/2013), ¿es automática la denegación?","Sí, los límites del art. 14 son absolutos y tasados sin margen de apreciación.","No, debe aplicarse el 'test del daño' y ponderar el interés público en la divulgación frente al perjuicio.","No, solo puede denegarlo el Ministerio de Defensa mediante orden motivada.","Sí, pero requiere autorización judicial previa.",2
"En el ámbito de la Ley 19/2013, ¿qué se entiende por acceso parcial?",La posibilidad de acceder a la información limitando su uso exclusivamente a fines de investigación.,"Dar acceso solo a los documentos principales de un expediente, excluyendo los anexos.","Conceder el acceso omitiendo la información afectada por un límite, salvo que resulte una información distorsionada o carente de sentido.",Permitir el acceso visual in situ pero prohibiendo la obtención de copias.,3
¿Quién nombra al Presidente del Consejo de Transparencia y Buen Gobierno?,"El Rey, a propuesta del Presidente del Gobierno.","El Gobierno, mediante Real Decreto, a propuesta del titular del Ministerio de Hacienda y Función Pública, previa comparecencia ante el Congreso.","El Congreso de los Diputados, por mayoría absoluta en primera votación.","El Defensor del Pueblo, tras informe preceptivo de la Comisión de Transparencia.",2
El plazo para interponer la reclamación potestativa ante el CTBG frente a una resolución denegatoria expresa es de:,Un mes desde el día siguiente al de la notificación de la resolución.,Dos meses si el acto fuera expreso y seis meses si no lo fuera.,Quince días hábiles desde que se dicte la resolución.,Veinte días naturales computados desde la publicación en el Portal de Transparencia.,1
