Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,Solución (1-4)
"Según la LCSP (Ley 9/2017), ¿cuál de los siguientes NO es un contrato típico?",Contrato de obras.,Contrato de concesión de servicios.,Contrato de suministro.,Contrato de arrendamiento de inmuebles.,4
"En la Administración Local, el órgano de contratación respecto de los contratos de obras cuyo valor estimado no supere el 10% de los recursos ordinarios del presupuesto es:",El Pleno.,El Alcalde o Presidente de la Entidad Local.,La Junta de Gobierno Local.,El Interventor.,2
"Para contratar con el sector público, las personas físicas o jurídicas deben:",Tener la nacionalidad española exclusivamente.,"Tener plena capacidad de obrar, no estar incursas en prohibición de contratar y acreditar su solvencia económica, financiera y técnica o profesional.",Estar obligatoriamente inscritas en el Registro de Licitadores en todos los casos menores.,Depositar una fianza del 10% del presupuesto antes de licitar.,2
Una UTE (Unión Temporal de Empresas) que concurre a una licitación:,Debe formalizarse en escritura pública antes de presentar la oferta.,"Queda obligada solidariamente frente a la Administración, debiendo formalizarse en escritura pública si resulta adjudicataria.",No necesita tener un representante único.,Tiene personalidad jurídica propia distinta de sus miembros.,2
El perfil de contratante es:,El documento que detalla las características del empresario ideal.,El espacio en internet que agrupa la información y documentos relativos a la actividad contractual de un órgano de contratación.,La base de datos del Registro de Licitadores.,Un trámite del procedimiento restringido.,2
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 6), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Supone una vulneración del principio de tipicidad sancionadora.,Producirá efectos retroactivos solo cuando se dicte en sustitución de actos anulados.,Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,1
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 7), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Es competencia exclusiva del Consejo de Ministros.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Es competencia exclusiva del Consejo de Ministros.,2
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 8), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Determinará el archivo automático de las actuaciones sin recurso posible.,1
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 9), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?",Incurre en causa de anulabilidad y será convalidable subsanando los vicios de forma.,Supone una vulneración del principio de tipicidad sancionadora.,"La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Determinará el archivo automático de las actuaciones sin recurso posible.,3
"En relación con el contenido específico del Contratos: Tipos y Partes (Pregunta avanzada 10), si nos atenemos a los plazos, requisitos formales y jurisprudencia consolidada de la materia reguladora aplicable, ¿cuál de las siguientes afirmaciones es la jurídicamente correcta?","La aplicación de los principios rectores debe garantizar en todo caso la adecuación a derecho, evitando la arbitrariedad y respetando el principio de legalidad procedimental específica que rige el contratos: tipos y partes.",Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,Queda supeditado a la aprobación del superior jerárquico según el reglamento orgánico.,Se aplicará supletoriamente la Ley de Jurisdicción Contencioso-Administrativa.,1
