Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,"Solución (1,2,3 o 4)"
"Según el artículo 168 de la Constitución, si se propone una reforma que afecte al Capítulo II, Sección 1.ª del Título I, ¿cuál es el primer paso preceptivo?",Aprobación del nuevo texto por mayoría de 3/5 de cada Cámara.,"Aprobación del principio de la reforma por mayoría de 2/3 de cada Cámara, y disolución inmediata de las Cortes.",Aprobación del principio de la reforma por mayoría de 3/5 de cada Cámara y convocatoria de referéndum.,Sometimiento de la propuesta a una Comisión Mixta paritaria de Diputados y Senadores.,2
"Si se tramita una reforma constitucional por la vía del artículo 167 y el Congreso y el Senado no alcanzan un acuerdo mediante la Comisión Mixta, ¿qué ocurre si el texto obtiene mayoría absoluta en el Senado?",El Congreso puede aprobar la reforma por mayoría de dos tercios.,La reforma queda automáticamente rechazada.,El Congreso puede aprobarla por mayoría absoluta.,Se somete directamente a referéndum vinculante.,1
La Constitución Española de 1978 está estructurada en...,"Un Preámbulo, un Título Preliminar, diez Títulos, cuatro Disposiciones Adicionales, nueve Transitorias, una Derogatoria y dos Finales.","Un Preámbulo, un Título Preliminar, diez Títulos, cuatro Disposiciones Adicionales, nueve Transitorias, una Derogatoria y una Final.","Un Preámbulo, diez Títulos, cinco Disposiciones Adicionales, ocho Transitorias, una Derogatoria y una Final.","Un Preámbulo, un Título Preliminar, once Títulos, cuatro Disposiciones Adicionales, nueve Transitorias y una Derogatoria.",2
¿Cuál de los siguientes no es un valor superior del ordenamiento jurídico según el artículo 1.1 de la CE?,La libertad.,La justicia.,La seguridad jurídica.,El pluralismo político.,3
"Según el artículo 9.3 de la CE, la Constitución garantiza...",La irretroactividad de las disposiciones sancionadoras favorables o restrictivas de derechos individuales.,La irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales.,"La retroactividad de cualquier disposición sancionadora, sea favorable o no.","La irretroactividad de las normas penales en cualquier caso, sin excepción.",2
El referéndum de ratificación en la reforma constitucional del artículo 167 (reforma ordinaria):,Es siempre obligatorio y vinculante.,"Deberá solicitarse dentro de los quince días siguientes a su aprobación, por una décima parte de los miembros de cualquiera de las Cámaras.","Deberá solicitarse dentro de los treinta días siguientes a su aprobación, por una quinta parte de los miembros del Congreso.","Sólo puede solicitarlo el Presidente del Gobierno, previa autorización del Congreso de los Diputados.",2
"En relación con el artículo 8 de la Constitución, ¿cuál es la misión de las Fuerzas Armadas?","Garantizar la soberanía e independencia de España, defender su integridad territorial y el ordenamiento constitucional.","Garantizar la soberanía, mantener la seguridad ciudadana y el orden público.","Defender el territorio, la Corona y el correcto funcionamiento de las instituciones del Estado.","Garantizar el pluralismo político, la soberanía nacional y la integridad territorial.",1
"Según el artículo 169 de la Constitución, no podrá iniciarse la reforma constitucional...","Durante el mes de agosto, al estar fuera del período de sesiones ordinarias.",En tiempo de guerra o de vigencia de alguno de los estados previstos en el artículo 116.,Si no cuenta con el informe favorable del Consejo de Estado.,En el año inmediatamente anterior a la disolución natural de las Cortes Generales por fin de legislatura.,2
"En virtud del artículo 3 de la CE, sobre el castellano y las demás lenguas españolas:",El castellano es la lengua española oficial del Estado y todos los españoles tienen el deber de conocerla y usarla.,Las demás lenguas españolas serán también oficiales en las respectivas Comunidades Autónomas de acuerdo con sus Estatutos.,"La riqueza de las distintas modalidades lingüísticas de España es un patrimonio cultural que será objeto de especial respeto, pero no de protección oficial.","El castellano es la única lengua oficial en España, sin que los Estatutos puedan otorgar cooficialidad a otras lenguas en sus territorios.",2
"Según el artículo 5, la capital del Estado es...",La provincia de Madrid.,La ciudad de Madrid.,La villa de Madrid.,El municipio de Madrid.,3
"De conformidad con el art. 9.1 de la Constitución, los ciudadanos y los poderes públicos están sujetos...",A la Constitución y a las leyes emanadas de las Cortes Generales.,A la Constitución y al resto del ordenamiento jurídico.,"A la Ley, al Derecho y a los Reglamentos.",Únicamente a la Constitución y a los Tratados Internacionales.,2
"En cuanto a los partidos políticos (art. 6 CE), su estructura interna y funcionamiento:",Deberán ser aprobados por el Ministerio del Interior.,Deberán ser democráticos.,"Serán libres, sin sujeción a principios democráticos imperativos.",Podrán ser secretos siempre que no vulneren la legalidad vigente.,2
El sindicato y las asociaciones empresariales (art. 7 CE) contribuyen a...,La defensa y promoción de los intereses económicos y sociales que les son propios.,La protección de los trabajadores y la maximización del beneficio empresarial.,El sostenimiento de la negociación colectiva y el diálogo social.,La defensa del ordenamiento constitucional y las libertades sindicales.,1
"La soberanía nacional, según el artículo 1.2 de la CE, reside en:",Las Cortes Generales.,La Corona y el Parlamento.,El pueblo español.,La Nación española.,3
"La bandera de España está formada por tres franjas horizontales, roja, amarilla y roja, siendo...",Todas de la misma anchura.,La amarilla de doble anchura que cada una de las rojas.,La roja superior de doble anchura que las demás.,La amarilla de triple anchura que las rojas.,2
"Si se propone la reforma del artículo 9 (perteneciente al Título Preliminar), el procedimiento a seguir será:",El establecido en el artículo 167 CE (mayoría de 3/5).,"El establecido en el artículo 168 CE (mayoría de 2/3, disolución, ratificación y referéndum).","Por Ley Orgánica, al afectar al Título Preliminar.","El mismo que para cualquier Ley Ordinaria, ya que no afecta a derechos fundamentales.",2
¿Quiénes están legitimados para ejercer la iniciativa de la reforma constitucional según el artículo 166 de la CE?,"El Gobierno, el Congreso, el Senado, las Asambleas de las CCAA y la iniciativa popular.",Exclusivamente el Gobierno y las Cortes Generales.,"El Gobierno, el Congreso y el Senado, quedando excluidas las Asambleas de las CCAA.","El Gobierno, el Congreso, el Senado y las Asambleas de las Comunidades Autónomas, de acuerdo con el artículo 87, apartados 1 y 2.",4
¿Cuándo entró en vigor la Constitución Española de 1978?,El 6 de diciembre de 1978.,El 27 de diciembre de 1978.,El 29 de diciembre de 1978.,El 1 de enero de 1979.,3
"Según la Constitución Española, el Rey...",Es el Jefe del Estado y ejerce el poder ejecutivo junto con el Gobierno.,Reina y gobierna.,"Es el Jefe del Estado, símbolo de su unidad y permanencia, arbitra y modera el funcionamiento regular de las instituciones.",Asume la máxima representación del Estado en las relaciones internacionales pero no arbitra las instituciones.,3
¿Cuál de los siguientes principios NO está expresamente garantizado en el artículo 9.3 de la Constitución?,El principio de legalidad.,El principio de equidad.,La interdicción de la arbitrariedad de los poderes públicos.,La responsabilidad de los poderes públicos.,2
