Pregunta,Respuesta 1,Respuesta 2,Respuesta 3,Respuesta 4,"Solución (1,2,3 o 4)"
"Según el art. 143 de la Constitución, ¿qué entidades estaban legitimadas para ejercer la iniciativa del proceso autonómico en la 'vía lenta'?","Las Diputaciones interesadas o al órgano interinsular correspondiente y las dos terceras partes de los municipios cuya población represente, al menos, la mayoría del censo electoral de cada provincia.",Un tercio de los municipios cuya población represente la mitad del censo electoral provincial.,Las Asambleas Legislativas de las Comunidades limítrofes.,Únicamente el Senado por mayoría absoluta.,1
"Si la iniciativa autonómica del artículo 143 no prospera, solamente podrá reiterarse pasado el plazo de:",2 años.,4 años.,5 años.,No podrá reiterarse.,3
"De conformidad con el art. 148 de la CE, las CCAA podrán asumir competencias en materias como...","Nacionalidad, inmigración y derecho de asilo.",Relaciones internacionales.,"Fomento de la cultura, de la investigación y, en su caso, de la enseñanza de la lengua de la CA.",Defensa y Fuerzas Armadas.,3
"Según el art. 149.1 CE, la legislación sobre propiedad intelectual e industrial es competencia exclusiva de:",Las Comunidades Autónomas donde tenga el domicilio el inventor o autor.,El Estado.,Competencia compartida entre Estado y CCAA según asuman los Estatutos.,Los organismos internacionales competentes en Europa.,2
"El artículo 155 de la CE establece un mecanismo de coerción estatal hacia una Comunidad Autónoma. Para su aplicación, si el requerimiento al Presidente de la CA no fuere atendido, se necesita la aprobación por:",Mayoría absoluta del Congreso.,Mayoría absoluta de ambas Cámaras.,Mayoría absoluta del Senado.,Mayoría simple del Senado previo dictamen del Tribunal Constitucional.,3
"Según el artículo 150.2 de la CE, el Estado podrá transferir o delegar en las Comunidades Autónomas facultades correspondientes a materia de titularidad estatal mediante:",Ley Marco.,Ley de Armonización.,Ley Orgánica.,Ley Ordinaria y referéndum.,3
"El control económico y presupuestario de las Comunidades Autónomas se ejerce, según el art. 153 CE, por:",El Tribunal Constitucional.,El Tribunal de Cuentas.,La Jurisdicción contencioso-administrativa.,El Banco de España.,2
"De acuerdo con el art. 145 de la Constitución, ¿está permitida la federación de Comunidades Autónomas?","Sí, si lo aprueban las Cortes Generales.","Sí, si se autoriza por referéndum en las CCAA implicadas.",En ningún caso se admitirá la federación de Comunidades Autónomas.,"Sí, previa modificación de sus respectivos Estatutos de Autonomía.",3
"Según el art. 137, el Estado se organiza territorialmente en:","Municipios, Provincias y Comarcas.","Municipios, Provincias y las Comunidades Autónomas que se constituyan.","Municipios, Diputaciones, Cabildos y CCAA.","Sectores, Mancomunidades, Provincias y CCAA.",2
"El Delegado del Gobierno, según el art. 154 de la CE:","Dirige la Administración del Estado en el territorio de la CA y la coordina, cuando proceda, con la administración propia de la Comunidad.",Ejerce el poder ejecutivo supremo en la CA por delegación del Rey.,Es elegido por el Parlamento autonómico de entre sus miembros.,Preside las sesiones del Tribunal Superior de Justicia de la Comunidad Autónoma.,1
La alteración de los límites provinciales (art. 141.1 CE) requerirá:,Ley Ordinaria aprobada por las Cortes Generales.,Acuerdo de las Diputaciones afectadas y aprobación de la CA.,Aprobación por las Cortes Generales mediante Ley Orgánica.,Referéndum vinculante de los municipios afectados.,3
"Para corregir desequilibrios económicos interterritoriales y hacer efectivo el principio de solidaridad, la CE (art. 158.2) prevé la constitución de:",Un Fondo de Garantía Autonómica.,Un Fondo de Compensación con destino a gastos de inversión.,Un Fondo de Solidaridad de las Regiones Europeas.,El Impuesto sobre la Renta Interterritorial.,2
La reforma de los Estatutos de Autonomía aprobados por la vía del art. 151 (vía rápida) requerirá en todo caso (art. 147.3 y 152.2):,Aprobación del Parlamento Autonómico por mayoría simple y de las Cortes Generales por Ley Ordinaria.,Referéndum entre los electores inscritos en los censos correspondientes.,Exclusivamente la aprobación de las Cortes Generales sin participación autonómica.,Aprobación del Gobierno Central por Real Decreto.,2
El art. 140 de la CE garantiza la autonomía de los municipios y establece que su gobierno y administración corresponde a:,"Los alcaldes y concejales, elegidos estos últimos por sufragio universal, igual, libre, directo y secreto.",Los presidentes de las Diputaciones que los designen.,"Asambleas vecinales exclusivamente, mediante concejo abierto en todos los casos.",El Delegado de Gobierno que designe un administrador.,1
"De conformidad con el art. 149.3 CE, el derecho estatal será, respecto del derecho de las Comunidades Autónomas:",Supletorio en todo caso.,Derogatorio de manera automática y previa.,Inaplicable en las materias que sean de competencia exclusiva de la CA.,"Supletorio, pero solo en materia penal y mercantil.",1
"Según el art. 148.2, transcurridos cinco años, las CCAA constituidas por la vía del art. 143 podían ampliar sus competencias:",Mediante la reforma de sus Estatutos.,Mediante una Ley Ordinaria de las Cortes.,Por acuerdo de sus Asambleas Legislativas sin necesidad de reformar el Estatuto.,Por un Real Decreto del Presidente del Gobierno.,1
¿Puede el Gobierno impugnar ante el Tribunal Constitucional disposiciones o resoluciones de las Comunidades Autónomas?,"No, solo puede hacerlo el Defensor del Pueblo.","Sí, y esta impugnación producirá la suspensión de la disposición o resolución recurrida, que deberá ser ratificada o levantada en un plazo no superior a cinco meses.","Sí, pero nunca produce la suspensión de la norma hasta que recaiga sentencia firme.",Solo si cuenta con el dictamen favorable del Consejo de Estado.,2
"El Estatuto de Autonomía es, según el art. 147.1 CE:",La norma institucional básica de cada CA y el Estado los reconocerá y amparará como parte integrante de su ordenamiento jurídico.,Una norma reglamentaria sujeta al control directo de la jurisdicción contencioso-administrativa.,Una Ley Ordinaria de rango inferior a los Reales Decretos Estatales.,Un pacto interterritorial no vinculante normativamente.,1
El control de la administración autónoma y sus normas reglamentarias corresponde a (art. 153 CE):,El Tribunal de Cuentas.,El Tribunal Constitucional.,El Gobierno Central directamente.,La Jurisdicción Contencioso-Administrativa.,4
"Según el art. 150.3, las Cortes Generales pueden dictar Leyes de Armonización de las disposiciones normativas de las CCAA, incluso en materias de su competencia exclusiva, cuando así lo exija el interés general. Esta necesidad debe ser apreciada por:",Mayoría absoluta de cada Cámara.,Mayoría simple del Congreso y 2/3 del Senado.,Unanimidad de las Asambleas Legislativas de las CCAA.,El Tribunal Constitucional a propuesta del Gobierno.,1
